# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use 
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Tierrafría, V. H. et al. (2022). RegulonDB 11.0: Comprehensive high-throughput datasets on transcriptional regulation in Escherichia coli K-12,
#      Microb Genom. 2022 May;8(5). doi: 10.1099/mgen.0.000833. PMID: 35584008. https://doi.org/10.1099/mgen.0.000833
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
#
# Release: 11.1 Date: 12/12/2022
# ___________________________________________________________________________
# Created: 12/13/2022  10:04:40
#
# Columns:
#  (1) Transcription Factor (TF) Name
#  (2) Operon  regulated by TF [operon genes]
#  (3) Regulatory Function of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the TFBS
#  (5) Evidence of the function of the Regulatory interaction (RI)
#  (6) RI confidence level based on  its evidence (Values: Confirmed, Strong, Weak)
#
AaeR	aaeXAB[aaeA, aaeB, aaeX]	+	[EXP-GSELEX|W|genomic SELEX]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArcA	lldPRD[lldD, lldP, lldR]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArcA	mdh[mdh]	-	[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArcA	moeAB[moeA, moeB]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArcA	ndh[ndh]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArcA	nlpD-rpoS[rpoS]	-	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArcA	nuoABCEFGHIJKLMN[nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN]	-	[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArcA	ompW[ompW]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArcA	oppABCDF[oppA, oppB, oppC, oppD, oppF]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArcA	pdhR-aceEF-lpd[aceE, aceF, lpd]	-	[,[COMP-AINF-PATTERN-DISCOVERY|W|Automated inference based on sequence pattern discovery],[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-CHIP-CHIP|W|ChIP-chip evidence],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
ArcA	ptsG[ptsG]	-	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArcA	puuA-ymjE-puuP[puuA, puuP, ymjE]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArcA	puuDRCBE[puuB, puuC, puuD, puuE, puuR]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArcA	rhaT[rhaT]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArcA	rmf[rmf]	-	[EXP-GSELEX|W|genomic SELEX],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArcA	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ[rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpsC, rpsJ, rpsQ, rpsS]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArcA	rsd[rsd]	-	[EXP-GSELEX|W|genomic SELEX],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArcA	rutABCDEFG[rutA, rutB, rutC, rutD, rutE, rutF, rutG]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArcA	sdhCDAB-sucABCD-sdhX[sdhA, sdhB, sdhC, sdhD, sdhX, sucA, sucB, sucC, sucD]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArcA	sdhCDAB-sucABCD-sdhX[sdhA, sdhB, sdhC, sdhD, sdhX, sucA, sucB, sucC, sucD]	-	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArcA	sodA[sodA]	-	[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	Weak	
ArcA	ssb[ssb]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArcA	tpx[tpx]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArcA	treBC[treB, treC]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArcA	ubiCA[ubiA, ubiC]	-	[]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArcA	uvrA[uvrA]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArcA	xylFGHR[xylR]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArcA	ybdN[ybdN]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[]	Weak	
ArcA	ydeA[ydeA]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArcA	ymiC-acnA[acnA]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
ArgP	argO[argO]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[IC|W|Inferred by curator]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[IC|W|Inferred by curator]	Confirmed	
ArgP	argP[argP]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[IC|W|Inferred by curator]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[IC|W|Inferred by curator]	Weak	
ArgP	dapB[dapB]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[IC|W|Inferred by curator]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[IC|W|Inferred by curator]	Confirmed	
ArgP	dnaAN-recF[dnaA, dnaN, recF]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[IC|W|Inferred by curator]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[IC|W|Inferred by curator]	Strong	
ArgP	gdhA[gdhA]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
ArgP	lysA[lysA]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArgP	lysC[lysC]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArgP	lysP[lysP]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[IC|W|Inferred by curator]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[IC|W|Inferred by curator]	Confirmed	
ArgP	map-glnD-dapD[dapD]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArgP	nrdAB-yfaE[nrdA, nrdB, yfaE]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[IC|W|Inferred by curator]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[IC|W|Inferred by curator]	Strong	
ArgR	argA[argA]	-	[COMP-AINF-PATTERN-DISCOVERY|W|Automated inference based on sequence pattern discovery],[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-CHIP-EXO|W|ChIP-exo evidence],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
ArgR	argCBH[argB, argC, argH]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[COMP-AINF-PATTERN-DISCOVERY|W|Automated inference based on sequence pattern discovery],[EXP-CHIP-EXO|W|ChIP-exo evidence]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
ArgR	argD[argD]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[COMP-AINF-PATTERN-DISCOVERY|W|Automated inference based on sequence pattern discovery],[EXP-CHIP-EXO|W|ChIP-exo evidence]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
ArgR	argE[argE]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[COMP-AINF-PATTERN-DISCOVERY|W|Automated inference based on sequence pattern discovery],[EXP-CHIP-EXO|W|ChIP-exo evidence]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
ArgR	argF[argF]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[COMP-AINF-PATTERN-DISCOVERY|W|Automated inference based on sequence pattern discovery],[EXP-CHIP-EXO|W|ChIP-exo evidence],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
ArgR	argG[argG]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArgR	argI[argI]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[COMP-AINF-PATTERN-DISCOVERY|W|Automated inference based on sequence pattern discovery],[EXP-CHIP-EXO|W|ChIP-exo evidence]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
ArgR	argR[argR]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[COMP-AINF-PATTERN-DISCOVERY|W|Automated inference based on sequence pattern discovery],[EXP-CHIP-EXO|W|ChIP-exo evidence]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
ArgR	argT-hisJQMP[hisJ, hisM, hisP, hisQ]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[COMP-AINF-PATTERN-DISCOVERY|W|Automated inference based on sequence pattern discovery],[EXP-CHIP-EXO|W|ChIP-exo evidence]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
ArgR	artJ[artJ]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[COMP-AINF-PATTERN-DISCOVERY|W|Automated inference based on sequence pattern discovery],[EXP-CHIP-EXO|W|ChIP-exo evidence]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
ArgR	artPIQM[artI, artM, artP, artQ]	-	[COMP-AINF-PATTERN-DISCOVERY|W|Automated inference based on sequence pattern discovery],[EXP-CHIP-EXO|W|ChIP-exo evidence],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
ArgR	astCADBE[astA, astB, astC, astD, astE]	+	[COMP-AINF-PATTERN-DISCOVERY|W|Automated inference based on sequence pattern discovery],[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-CHIP-EXO|W|ChIP-exo evidence],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
ArgR	carAB[carA, carB]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[COMP-AINF-PATTERN-DISCOVERY|W|Automated inference based on sequence pattern discovery],[EXP-CHIP-EXO|W|ChIP-exo evidence]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
ArgR	gltBDF[gltB, gltD, gltF]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArgR	lysO[lysO]	-	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[COMP-AINF-PATTERN-DISCOVERY|W|Automated inference based on sequence pattern discovery],[EXP-CHIP-EXO|W|ChIP-exo evidence]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
ArgR	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp[infB, metY, nusA, pnp, rbfA, rimP, rpsO, truB]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
ArsR	arsRBC[arsB, arsC, arsR]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
AscG	ascFB[ascB, ascF]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
AscG	htpG[htpG]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[]	Strong	
AscG	prpR[prpR]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
AscG	ybiT[ybiT]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[]	Strong	
AsnC	asnA[asnA]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
AsnC	asnC-mioC-mnmG-rsmG[asnC, mioC, mnmG]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
AtoC	atoDAEB[atoA, atoB, atoD, atoE]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
BaeR	acrD[acrD]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[IC|W|Inferred by curator]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[IC|W|Inferred by curator]	Strong	
BaeR	mdtABCD-baeSR[baeR, baeS, mdtA, mdtB, mdtC, mdtD]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
BaeR	spy[spy]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[IC|W|Inferred by curator]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[IC|W|Inferred by curator]	Strong	
BasR	csgDEFG[csgD, csgE, csgF, csgG]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
BasR	cspI[cspI]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[]	Strong	
BasR	dgkA[dgkA]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
BasR	fimB[fimB]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[]	Strong	
BasR	putA[putA]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[]	Strong	
BasR	qseBC[qseB, qseC]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
